class,분류,코드,음 식 명,중량(g),에너지(kcal),탄수화물(g),단백질(g),지방(g),나트륨(mg),당류(g),칼슘(mg),인(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),트랜스지방(g),,
27,밥류01,01-015-007,잡채밥,650.00 ,851.54 ,125.70 ,21.14 ,28.61 ,2251.34 ,4.00 ,84.11 ,287.78 ,817.08 ,32.55 ,4.83 ,5.90 ,36.00 ,0.00 ,,
28,밥류01,01-015-008,잡탕밥,750.00 ,737.23 ,100.55 ,29.02 ,22.48 ,1922.14 ,0.00 ,77.60 ,363.25 ,803.73 ,15.65 ,4.86 ,6.22 ,188.05 ,0.00 ,,
29,밥류01,01-015-009,장어덮밥,400.00 ,671.72 ,103.04 ,26.14 ,19.24 ,893.22 ,0.00 ,611.12 ,448.26 ,785.08 ,28.60 ,22.17 ,4.75 ,156.96 ,0.00 ,,
30,밥류01,01-015-010,제육덮밥,500.00 ,796.94 ,95.80 ,37.80 ,27.52 ,1375.69 ,5.40 ,46.04 ,573.70 ,624.95 ,-,6.28 ,7.17 ,108.00 ,0.00 ,,
31,밥류01,01-015-011,짬뽕밥,900.00 ,696.69 ,93.42 ,41.80 ,22.42 ,2869.54 ,0.00 ,394.17 ,667.61 ,1715.52 ,-,11.59 ,5.57 ,304.30 ,0.00 ,,
32,밥류01,01-015-012,순대국밥,900.00 ,690.35 ,34.23 ,17.34 ,16.48 ,3418.20 ,0.00 ,132.86 ,239.26 ,672.91 ,3.45 ,9.11 ,6.62 ,1480.97 ,0.00 ,,
33,밥류01,01-015-013,카레라이스,500.00 ,653.24 ,92.58 ,13.40 ,10.67 ,1108.55 ,0.00 ,27.90 ,218.24 ,525.62 ,70.18 ,1.98 ,2.66 ,13.75 ,0.00 ,,
34,밥류01,01-015-014,전주콩나물국밥,900.00 ,432.38 ,88.73 ,12.50 ,3.53 ,1753.26 ,0.00 ,76.88 ,231.65 ,525.79 ,67.79 ,2.38 ,2.37 ,2.77 ,0.00 ,,
35,밥류01,01-015-015,해물덮밥,700.00 ,837.98 ,100.11 ,51.77 ,29.00 ,2117.83 ,0.00 ,167.54 ,542.32 ,1361.77 ,34.80 ,16.63 ,5.86 ,293.87 ,0.00 ,,
36,밥류01,01-015-016,회덮밥,500.00 ,698.00 ,101.75 ,42.99 ,11.40 ,777.63 ,18.41 ,117.12 ,587.94 ,1131.35 ,6.98 ,3.90 ,2.67 ,125.59 ,0.00 ,,
